Date,DBC,GLD,IEF,IWM,QQQ,SPY,TIP,TLT
2015-05-06,15.564505577087402,114.36000061035156,83.93750762939453,105.31631469726562,98.48174285888672,173.52809143066406,84.3333969116211,90.45976257324219
2015-05-07,15.319330215454102,113.41999816894531,84.29434204101562,105.71577453613281,99.0723648071289,174.220458984375,84.55087280273438,91.6752700805664
2015-05-08,15.403873443603516,113.97000122070312,84.619384765625,106.50608825683594,100.30906677246094,176.5142364501953,84.90322875976562,91.92288970947266
2015-05-11,15.336236000061035,113.52999877929688,83.78690338134766,106.56684875488281,99.92144775390625,175.6717529296875,84.13104248046875,89.68688201904297
2015-05-12,15.496870040893555,114.5,83.85028839111328,106.37580871582031,99.46920776367188,175.14630126953125,84.2135009765625,89.91949462890625
2015-05-13,15.513779640197754,116.55000305175781,83.73928833007812,106.37580871582031,99.67223358154297,175.17965698242188,84.08605194091797,89.19918823242188
2015-05-14,15.606776237487793,117.18000030517578,84.02474212646484,107.50482940673828,101.13041687011719,177.00634765625,84.24346160888672,89.43926239013672
2015-05-15,15.598322868347168,117.52999877929688,84.6273422241211,107.38321685791016,101.13041687011719,177.19821166992188,84.82823944091797,91.23258972167969
2015-05-18,15.556052207946777,117.5199966430664,84.05646514892578,108.59905242919922,101.57341766357422,177.74871826171875,84.37841033935547,89.70188903808594
2015-05-19,15.22633171081543,115.88999938964844,83.6838150024414,108.4513931274414,101.46266174316406,177.69027709960938,83.97356414794922,88.90654754638672
2015-05-20,15.192513465881348,116.08000183105469,83.86614990234375,108.651123046875,101.52728271484375,177.56521606445312,84.19851684570312,89.05661010742188
2015-05-21,15.378510475158691,115.69000244140625,84.36567687988281,108.5295639038086,102.05332946777344,178.08233642578125,84.52086639404297,90.30213165283203
2015-05-22,15.209423065185547,115.5999984741211,84.17539978027344,108.06060791015625,101.9517822265625,177.6569366455078,84.6633071899414,90.33966827392578
2015-05-26,14.913517951965332,113.91000366210938,84.69873046875,107.02714538574219,100.77971649169922,175.74681091308594,84.73079681396484,91.88534545898438
2015-05-27,14.710612297058105,113.88999938964844,84.65118408203125,108.33850860595703,102.4040298461914,177.41510009765625,84.65584564208984,92.09545135498047
2015-05-28,14.786704063415527,114.0199966430664,84.73042297363281,108.24295043945312,102.17330169677734,177.2148895263672,84.60334777832031,91.87031555175781
2015-05-29,14.972698211669922,114.0999984741211,84.77803039550781,107.59163665771484,101.56417083740234,176.1138458251953,84.87325286865234,92.07291412353516
2015-06-01,14.938883781433105,114.0,84.40393829345703,107.93030548095703,101.90564727783203,176.47254943847656,84.34844207763672,91.08342742919922
2015-06-02,15.116425514221191,114.45999908447266,83.8162841796875,108.13875579833984,101.58263397216797,176.29736328125,84.00361633300781,89.81258392333984
2015-06-03,14.921972274780273,113.63999938964844,83.10153198242188,109.21561431884766,101.88719940185547,176.76446533203125,83.48628234863281,88.36886596679688
2015-06-04,14.786704063415527,112.83999633789062,83.50656127929688,108.12138366699219,101.11194610595703,175.27142333984375,83.71870422363281,89.51933288574219
2015-06-05,14.854336738586426,112.23999786376953,82.9029312133789,108.90299987792969,100.87202453613281,174.97113037109375,83.48628234863281,88.42900085449219
2015-06-08,14.862792015075684,112.56999969482422,83.02207946777344,108.39928436279297,99.84760284423828,173.8950958251953,83.5987319946289,88.3311996459961
2015-06-09,15.099514961242676,112.81999969482422,82.7520523071289,108.06927490234375,99.68148040771484,173.87013244628906,83.41132354736328,87.63195037841797
2015-06-10,15.158696174621582,113.77999877929688,82.4344253540039,109.4153823852539,101.04737854003906,175.9553680419922,83.1114273071289,86.86494445800781
2015-06-11,15.023427963256836,113.26000213623047,83.08561706542969,109.69327545166016,101.19503021240234,176.52256774902344,83.5238037109375,88.6921615600586
2015-06-12,14.871248245239258,113.2300033569336,83.03797149658203,109.36327362060547,100.36444091796875,175.17132568359375,83.56876373291016,88.6921615600586
2015-06-15,14.80361270904541,113.7300033569336,83.23656463623047,109.01588439941406,99.86604309082031,174.42063903808594,83.83863830566406,88.83503723144531
2015-06-16,14.8458833694458,113.31999969482422,83.55419921875,109.78880310058594,100.41056060791016,175.37152099609375,84.3333969116211,89.53438568115234
2015-06-17,14.88815689086914,113.8499984741211,83.60188293457031,109.62379455566406,100.68742370605469,175.6551055908203,84.43094635009766,88.84257507324219
2015-06-18,14.88815689086914,115.31999969482422,83.53833770751953,111.0914535522461,102.15483856201172,177.48178100585938,84.22847747802734,88.40644836425781
2015-06-19,14.752886772155762,115.12000274658203,83.98303985595703,111.03937530517578,101.6498031616211,176.6939239501953,84.42341613769531,89.54190063476562
2015-06-22,14.80361270904541,113.63999938964844,83.2762451171875,111.8036117553711,102.39903259277344,177.59915161132812,84.048583984375,87.71464538574219
2015-06-23,14.981151580810547,112.88999938964844,83.02207946777344,112.03804779052734,102.48228454589844,177.724853515625,83.86112213134766,87.18830871582031
2015-06-24,14.879701614379883,112.58999633789062,83.2682876586914,111.0914535522461,101.95504760742188,176.43408203125,84.01107025146484,87.94025421142578
2015-06-25,14.896612167358398,112.44000244140625,83.06182098388672,111.0306625366211,101.75153350830078,175.89764404296875,83.92112731933594,87.63195037841797
2015-06-26,14.96424674987793,112.55999755859375,82.6646728515625,110.72673034667969,101.0762710571289,175.86407470703125,83.5462646484375,86.64688873291016
2015-06-29,14.896612167358398,113.06999969482422,83.62567138671875,107.93030548095703,98.68973541259766,172.17623901367188,84.16102600097656,88.9403305053711
2015-06-30,15.217877388000488,112.37000274658203,83.39533233642578,108.43403625488281,99.0412368774414,172.5365753173828,84.00361633300781,88.32371520996094
2015-07-01,15.031881332397461,111.9800033569336,82.95950317382812,108.7553482055664,99.82748413085938,173.91954040527344,83.6961898803711,87.13151550292969
2015-07-02,15.006516456604004,111.76000213623047,83.2537612915039,107.95213317871094,99.8552474975586,173.76028442382812,84.06356048583984,87.41789245605469
2015-07-06,14.516164779663086,112.05999755859375,83.84234619140625,107.917236328125,99.62399291992188,173.26580810546875,84.3934097290039,89.03814697265625
2015-07-07,14.431619644165039,110.76000213623047,84.06503295898438,108.03934478759766,99.87374114990234,174.3554229736328,84.67081451416016,89.87462615966797
2015-07-08,14.363985061645508,111.08999633789062,84.39910125732422,106.39102172851562,98.13473510742188,171.4302215576172,84.77578735351562,90.65078735351562
2015-07-09,14.533071517944336,111.36000061035156,83.81053161621094,106.7747573852539,98.07919311523438,171.74037170410156,84.22847747802734,88.86481475830078
2015-07-10,14.6007080078125,111.48999786376953,83.22992706298828,108.2573471069336,99.57775115966797,173.90286254882812,83.83114624023438,87.45556640625
2015-07-13,14.609162330627441,110.98999786376953,83.00719451904297,109.47836303710938,101.32603454589844,175.8222198486328,83.53877258300781,87.18426513671875
2015-07-14,14.55843448638916,110.73999786376953,83.26968383789062,110.0888442993164,101.99203491210938,176.58494567871094,83.67369079589844,87.47067260742188
2015-07-15,14.389348983764648,110.16000366210938,83.5878677368164,109.50453186035156,102.10304260253906,176.52626037597656,83.9061050415039,88.39756774902344
2015-07-16,14.321712493896484,109.76000213623047,83.55606079101562,110.15859985351562,103.54606628417969,177.9427490234375,84.01107025146484,89.00801849365234
2015-07-17,14.245623588562012,108.6500015258789,83.56395721435547,109.67893981933594,105.07231903076172,178.09364318847656,83.98109436035156,89.46768188476562
2015-07-20,14.017354965209961,105.69999694824219,83.39691925048828,109.08590698242188,105.43307495117188,178.18585205078125,83.75619506835938,89.09090423583984
2015-07-21,14.076536178588867,105.37000274658203,83.62761688232422,108.57131958007812,105.36831665039062,177.48182678222656,83.95108032226562,89.57321166992188
2015-07-22,13.87363052368164,104.80000305175781,83.73104095458984,108.97252655029297,104.17509460449219,177.1632843017578,83.98858642578125,90.130859375
2015-07-23,13.755270004272461,104.33000183105469,84.07304382324219,107.76898193359375,103.78656768798828,176.16586303710938,84.13104248046875,91.25373840332031
