Date,510300.SH,510500.SH,513500.SH,511260.SH,518880.SH,513100.SH
2017-08-04,3.2086422443389893,5.495870590209961,0.7634999752044678,98.40711212158203,2.747999906539917,0.41499999165534973
2017-08-11,3.158280849456787,5.454756736755371,0.7565000057220459,98.46515655517578,2.763000011444092,0.40619999170303345
2017-08-18,3.227421283721924,5.606622695922852,0.7524999976158142,98.6058578491211,2.763000011444092,0.40880000591278076
2017-08-24,3.2376644611358643,5.553764820098877,0.7509999871253967,97.88270568847656,2.750999927520752,0.4090000092983246
2017-08-25,3.2940011024475098,5.612494468688965,0.7509999871253967,98.19950866699219,2.749000072479248,0.4099999964237213
2017-08-28,3.3315589427948,5.676270484924316,0.7509999871253967,98.36676788330078,2.76200008392334,0.40779998898506165
2017-08-29,3.324730396270752,5.656962871551514,0.746999979019165,98.16409301757812,2.7920000553131104,0.4059999883174896
2017-08-30,3.3213160037994385,5.696403980255127,0.746999979019165,98.26641845703125,2.759999990463257,0.4075999855995178
2017-08-31,3.315340995788574,5.715702533721924,0.7484999895095825,98.38546752929688,2.75600004196167,0.41119998693466187
2017-09-01,3.3196091651916504,5.77443265914917,0.7519999742507935,98.2555923461914,2.7750000953674316,0.4138000011444092
2017-09-04,3.3315589427948,5.7979302406311035,0.7515000104904175,98.26740264892578,2.7960000038146973,0.41119998693466187
2017-09-05,3.3435091972351074,5.802120685577393,0.75,98.25953674316406,2.7920000553131104,0.41100001335144043
2017-09-06,3.333266496658325,5.834007740020752,0.7484999895095825,98.2605209350586,2.7950000762939453,0.4081999957561493
2017-09-07,3.3187553882598877,5.791222095489502,0.7475000023841858,98.2123031616211,2.7860000133514404,0.40720000863075256
2017-09-08,3.315340995788574,5.8096747398376465,0.7465000152587891,98.34906005859375,2.7939999103546143,0.40779998898506165
2017-09-11,3.320462703704834,5.880158424377441,0.7475000023841858,98.38546752929688,2.7809998989105225,0.40720000863075256
2017-09-12,3.328998327255249,5.866732120513916,0.7515000104904175,98.35004425048828,2.7690000534057617,0.40959998965263367
2017-09-13,3.3315589427948,5.906174182891846,0.7515000104904175,98.38252258300781,2.7730000019073486,0.40959998965263367
2017-09-14,3.320462703704834,5.893584251403809,0.7524999976158142,98.39628601074219,2.7679998874664307,0.41179999709129333
2017-09-15,3.3255839347839355,5.848270416259766,0.7534999847412109,98.57929229736328,2.7799999713897705,0.4099999964237213
2017-09-18,3.3383877277374268,5.903656482696533,0.7559999823570251,98.65898895263672,2.757999897003174,0.4115999937057495
2017-09-19,3.3170483112335205,5.853306293487549,0.7574999928474426,98.50648498535156,2.759000062942505,0.4115999937057495
2017-09-20,3.3324134349823,5.913717746734619,0.7590000033378601,98.60881042480469,2.76200008392334,0.41200000047683716
2017-09-21,3.333266496658325,5.844916820526123,0.7609999775886536,98.66291809082031,2.7330000400543213,0.4115999937057495
2017-09-22,3.3238768577575684,5.801284313201904,0.7605000138282776,98.83412170410156,2.73799991607666,0.41019999980926514
2017-09-25,3.3102195262908936,5.730800628662109,0.7580000162124634,98.92462921142578,2.7339999675750732,0.40959998965263367
2017-09-26,3.31192684173584,5.755980014801025,0.7590000033378601,98.7219467163086,2.7720000743865967,0.4065999984741211
2017-09-27,3.3144872188568115,5.80800199508667,0.7599999904632568,98.69735717773438,2.747999906539917,0.40880000591278076
2017-09-28,3.3196091651916504,5.8096747398376465,0.7645000219345093,98.80853271484375,2.7320001125335693,0.4124000072479248
2017-09-29,3.330705404281616,5.844916820526123,0.7695000171661377,98.39727783203125,2.742000102996826,0.414000004529953
2017-10-09,3.3657031059265137,5.906174182891846,0.7799999713897705,98.52124786376953,2.7290000915527344,0.4185999929904938
2017-10-10,3.3699707984924316,5.925471782684326,0.7795000076293945,98.5842056274414,2.7300000190734863,0.41839998960494995
2017-10-11,3.382774591445923,5.892747402191162,0.7835000157356262,98.38153076171875,2.7239999771118164,0.420199990272522
2017-10-12,3.3972856998443604,5.881839752197266,0.784500002861023,98.37759399414062,2.7339999675750732,0.42080000042915344
2017-10-13,3.404114246368408,5.927980422973633,0.7789999842643738,98.30281829833984,2.7339999675750732,0.4203999936580658
2017-10-16,3.3921639919281006,5.842398166656494,0.7795000076293945,98.29003143310547,2.747999906539917,0.42239999771118164
2017-10-17,3.3904566764831543,5.83317232131958,0.781499981880188,97.994873046875,2.734999895095825,0.4244000017642975
2017-10-18,3.4109432697296143,5.803802490234375,0.7804999947547913,98.04308319091797,2.7290000915527344,0.423799991607666
2017-10-19,3.4015533924102783,5.745071887969971,0.7799999713897705,98.22608184814453,2.7239999771118164,0.4246000051498413
2017-10-20,3.3998465538024902,5.8029656410217285,0.7839999794960022,98.13261413574219,2.7230000495910645,0.4246000051498413
2017-10-23,3.4100897312164307,5.842398166656494,0.7870000004768372,98.09226989746094,2.7130000591278076,0.42559999227523804
2017-10-24,3.4322826862335205,5.836526393890381,0.7850000262260437,98.06078338623047,2.7230000495910645,0.423799991607666
2017-10-25,3.4433794021606445,5.869250297546387,0.7885000109672546,98.05292510986328,2.7119998931884766,0.4246000051498413
2017-10-26,3.4681334495544434,5.879322052001953,0.784500002861023,98.00175476074219,2.7230000495910645,0.42260000109672546
2017-10-27,3.485205888748169,5.866732120513916,0.7879999876022339,97.99388122558594,2.7060000896453857,0.42500001192092896
2017-10-30,3.4698410034179688,5.746744632720947,0.7935000061988831,97.79711151123047,2.7109999656677246,0.4336000084877014
2017-10-31,3.4672794342041016,5.7887043952941895,0.7925000190734863,97.78334045410156,2.7179999351501465,0.4343999922275543
